,content,supportUkraine
53,@SteveDaines YOU IDIOT!!! IF YOU REALLY STAND WITH UKRAINE YOU WOULDN’T HAVE SHARED THIS WHEN YOU WERE SPECIFICALLY ASKED NOT TO! ARE YOU TRYING TO GET HIM KILLED?!,0
54,You would have thought that #Germany would have learnt from both #WWl &amp; #WWII and this time chosen to be on the right side of history. I guess some countries can never learn! #StandWithUkraine https://t.co/RZ9KUeWLlY,0
55,@nytimesworld Nazis did the same … oh wait they’re the Nazis #NaziUkraine,1
56,@Euan_MacDonald So glad you're all safe! #STANDWITHUKRAINE 🇺🇦,0
57,"Yep, they can't help themselves,  here's #NaziMcCain and his #NaziUkraine #AzovBattalion #andreibiletsky leader of the nazi Nationalist armed forces funded by America https://t.co/2vhVV1UabO https://t.co/MaBQL9k3Dg",1
58,"How about using the oligarchs’s seized yachts to provide housing for Ukrainian refugees.
#StandWithUkraine #FuckPutin",0
59,"Jan. 22, 2022 is a special day when people around the world #StandWithUkraine against the Russian aggression.  As you know, Ukraine is the largest country wholly situated within Europe. So, Russia’s imminent invasion of Ukraine is a war against Europe. 🇺🇦❤️🙏🏼#ПідтримайУкраїну https://t.co/930vGsLDWD",0
60,"@spunkysr0825 Putin on video saying that unless things change the world will be blaming Ukraine for having its borders invaded - such utter bilk. 

#ThingsBulliesSay
#UkraineRussiaWar 
#StandWithUkraine",0
61,"@turbodimchuu @vamosentrando @uamemesforces The way they know how to talk, with serious arguments and blocking the other side. 😂😂🤡🤡 #NaziUkraine https://t.co/JCE6agVvbB",1
62,"In Kyiv, Secretary Blinken vowed to stand with Ukraine as Russia tensions continue https://t.co/bO9NHIzp44",0
63,"@OlenaHalushka @olgatokariuk @SecBlinken You need to understand that the Biden-Blinken-Sullivan trio will not intervene in any conflict no matter where it is, and even though it’s completely righteous to do so in Ukraine, it’s not going to happen. Their core beliefs are simply against intervention. #StandWithUkraine",0
64,"Stand with Ukraine &amp; fight against Putin, Trump &amp; the rest of the Putin-loving GOP politicians who have been praising Putin’s so-called strength for years. 
#StandWithUkraineNOW https://t.co/B5zo4adYBG",0
65,"MY SWEET HEART I AM THE NAZI NOT THE UKRAINIANS.

#StandWithUkraine #Ukrainian #Ukraine #war #Russia #UkraineRussie #amirhamoui https://t.co/dX1wI6Q5fo",0
66,"READY!
#Putin #IStandWithPutin #Russians #Russia #Donbass #DefendAtlantis #Atlantis https://t.co/lsFnm6XvJO",1
67,Yet the Freeworld will respond... The time is coming when we will Unite... Come Hell or Highwater...#EnoughIsEnough  #IStandWithRussia  your lies are done. #StopWars  #Nomorewar #JulianAssange  was right #WakeUp  #WakeUpAmerica  #wakeupworld the Enemy is at Home #WashingtonDC,1
68,@MarkShernick @RT_com 🇺🇸 ADMITTING THEY DO NOT SUPPORT THE INTERNATIONAL CRIMES COURT BECAUSE THEY ARE WAR CRIMINALS 💁🏾‍♀️ #istandwithPutin https://t.co/wEZ3CatGfq,1
69,"&gt;""Why do Liberals support #Nazis?""

Nazis?  What Nazis?  I don't see any Nazis!

Nope.  No Nazis here!

(Call them ""ultranationalists,"" call them ANYTHING but DON'T call them Nazis because they definitely aren't Nazis!  No way!)

#nazisinukraine #Nazi #NaziUkraine https://t.co/rFuXuWDL96 https://t.co/WeInk5OsKe",1
70,"Ukrainians: All world support us!
Italians: Nazis! Nazis!

#NaziUkraine https://t.co/JjkmORuNcb",1
71,"@StateDept @POTUS Putin is a war criminal. Stand with Ukraine 
🇺🇦 #StandWithUkraine #Friends #Allies #StopPutin",0
72,A further invasion of the Ukraine would be a war of choice. Putin should be treated as a war criminal if that occurs. #StandWithUkraine https://t.co/DNPLOusTMO,0
73,"#StandWithUkraine 
Please Retweet. @funder https://t.co/SmuvPcGomF",0
74,"I rarely RT promo tweets, but because #IStandWithRussia... https://t.co/aBn5HNZR6O",1
75,"YES!! #Visa and #Mastercard are stopping services in #Russia due to #UkraineInvasion!

#StandWithUkraine #SlavaUkraini 

#NoMoreTerrorism #EndPutinsWar",0
76,@theatrewizard @Medici1 - lol…. I think we need extra help because we can’t spell….,0
77,@stillgray I’m truly mixed .. I don’t think Z is the person anyone thinks he is though . So .. I really don’t know . I need to hear the voices of the people . My people stand with Ukraine . I would like to hear what others are saying though.,0
78,"What Russia Is Doing to Ukraine Must Be Preserved—Not Just Seen #StandwithUkraine
Images of crimes against humanity are in danger of being lost. Fortunately, best practices exist, and the international community needs to implement them. https://t.co/a2e6hcZpym via @wired",0
79,"🚨Ukraine is preparing for huge military casualties and the biggest humanitarian crisis in Europe since the end of WWII! Will the free western democracies stop Putin's obsession with Ukraine?
#StandWithUkraine 
🇺🇦🌍🆘 https://t.co/vLtU5TCYEY",0
80,"@joakedzierska #Russia  starts a war with a peaceful neighbour #Ukraine 
  drop bombs on  its citizens bomb its nuclear power plant actions have consequences #PutinsWar 
#PutinsWarCrimes #StandWithUkraine",0
81,"For people who say providing a #NoFlyZone for Ukraine would start WW III, a question:

Hitler took Austria on March 13, 1939.
Hitler invaded Czechoslovakia on March 15, 1939. 
WW II was officially declared on September 3, 1939.

Q: When did WW II really start?

#StandWithUkraine",0
82,Blinken says U.S. 🇺🇸 will stand with #Ukraine 🇺🇦 if #Russia 🇷🇺 attacks,0
83,@MariusVizer Strip Putin of his black belt as he went against “Jita-Kyoei” principle of judo for mutual benefit! He is a disgrace to the world and is not worthy to be called a judoka! Stand with Ukraine!!! ❤️✊🇺🇦🥋,0
84,"I Stand With UKRAINE                                                                                                                                                          Order from here👇👇
https://t.co/4XoBISmdF0
#StandWithUkraine️
#IStandWithPutin https://t.co/jK6LcN6Bie",0
85,@ZelenskyyUa Americans stand with Ukraine,0
86,"@DagnyTaggart369 @georgegalloway You’ll never see this on mainstream media. 
#NaziUkraine",1
87,@cspan @SecBlinken @DmytroKuleba Actually no the “entire world” does not stand with Ukraine and many are just neutral. This idiocy needs to stop because it’s only escalating the conflict. Ukraine needs to declare itself a neutral nation and commit to never entering NATO.,0
88,@CBSNews They have as much blood on their hands as #Putin🩸 Tighten sanctions against the countries that help them💪🏻#StandWithUkraine,0
89,I #StandWithUkraine and its right to sovereignty and freedom from tyranny. I worry everyday for our family here and there. #cdnpoli https://t.co/ySmGWo3v04,0
90,"I am proud that we, as a country, #StandWithUkraine 👋🏻",0
91,"@CBCNews Sanctions after invasion? How does that help #Ukraine?
#standwithukraine #saynotoputin",0
92,"Getting a wee bit fatigued with the ""NATO should never have..""

Only sovereign nations may **on their on initiative** apply to @NATO 
NATO has never been an imperialist machine.
Oh lots of criticism you are entitled to direct to NATO. But not this.

#StopPutin  #StandWithUkraine",0
93,"@VigilantinfoN The Kremlin would rather have the crushing burden of being the 3rd Rome, rather than the lighter one of being the 5th See.  Ego gets a lot of people into trouble.  
#StandWithUkraine",0
94,@RepRosendale I stand with Ukraine 🇺🇦 https://t.co/ZMcDa7Mife,0
95,"The death of democracy in Britain &amp; the rise of the (Russian-funded) Conservative party under BJ go hand in hand. This may not be entirely coincidental.
#YesScots
#ScottishIndependence
#StandWithUkraine https://t.co/mMi1FeR6K9",0
96,"""A very large stockpile of ammunition 7.62x39 and 7.62x54 is held in Moldova #Transnistria region which the #ukronazis of #NaziUkraine are determined to thieve.  Here authorities are placing barriers and checkpoints to counter the 🇺🇦#ukrogoon attack."" https://t.co/6ziOYP3IU4",1
97,@Medici1 @theatrewizard If you can’t laugh at it you need to restart your day 😂! It won’t be the last time. We did it on TV before too.,0
98,I #StandwithUkraine in their fight for freedom and determination to chart their own future. 🇺🇦 https://t.co/A4JgsQnGeT,0
99,"@valdemings Rubio= selfserving elected Republican 
#StandWithUkraine 
#FireRubio
#StopTheInsanity",0
100,"Most of Russia`s war crimes are committed from the air. Help to protect Ukrainian cities from Russian missiles - provide Ukraine with  air and missile defence, anti-tank, protective gear #StandWithUkraine  #StopPutinNOW #ProtectUASky #NoFlyZone https://t.co/8TdhSmlJdp",0
101,"Wow. Take a minute to watch this. Then a moment to place yourself in their shoes. 

Speak out, to the political leaders in your country, so that they make it clear they #StandWithUkraine https://t.co/7jz8l1eW2o",0
102,I STAND WITH UKRAINE 🇺🇦 🇺🇸 https://t.co/myPXqPFTQn,0
103,"Since everyone is coming out in support of #Ukraine . I’ve decided to do my bit, I’m going to dedicate every shit I have to the brave people of the #Ukraine #UkraineUnderAttaсk #UkraineAppeal #StandWithUkraine 
Expect high definition pictures soon. #Ukraine",0
104,"Good morning from Japan .
#LLAP 
#PrayForSyria
#StandWithUkraine
#PrayForTheWorld",0
105,"@davidhogg111 A lot of people like David Hogg want to show the stand with Ukraine. That's good, but how many are willing to fall for Ukraine?",0
106,"@ZelenskyyUa snoring coke while in a meeting.

Prove me wrong.

#Ukraine️
#UkraineNazis
#UkraineCrisis #UkraineWillWin 😂
#IStandWithRussia #IStandWithPutin https://t.co/rrqt4WCITB",1
107,@ymepvn Putin is evil. @Russia need to overthrow him ASAP. Stand with @ukraine! #StandWithUkraine,0
108,"Mr. Putin, Tear Down This Flag #standwithukraine Russian Embassy https://t.co/LeAtqVpc5D",0
109,"#Putin is not #Russia  #FreeRussia, we need to stop this crazy man. We can't sit still watching the end of #Ukraine and the destruction of #Ukraine #Syria 
WE ARE PROUD OF RUSSIAN PEOPLE WHO ARE PROTESTING AGAINST WAR!
We Stand with You 🇺🇦 #Ukrainian 🇪🇺 
#StandWithUkraine 💛💙. https://t.co/58HD1wPQ6u",0
110,"@melaniejoly too much criminals in UKRAINE connected to organized crime.

you don't stand with Canadians but stand with Ukraine.

says enough about out criminal government.",0
111,"12/
“Ukraine” spoken in Ukrainian by supporters at West 46th Street.

STAND WITH UKRAINE,
Times Square, NYC, Saturday, March 5, 2022.

#Ukraine #nyc nyc #StandWithUkraine https://t.co/KH89Lq4vPp",0
112,"We stand with Ukraine against Russia's campaign of disinformation and agression. 

Read @BWallaceMP piece👇

https://t.co/EsoKWtvdys",0
113,@MarkGerretsen So many @liberal_party MPs tweeting today.  I see everyone got the memo!  One question - if you all #StandWithUkraine then why would you ask them to pay you back money?  I mean you didn’t ask Trevor noah to pay u back? And he wasn’t even threatened.,0
114,"Ukrainian Tamara Krawchuk A confirmed Nazi spelled out death to orthodox on her weapon and was cutting dead russian soldiers  and drawing nazi symbols on their bodies, she got eliminated a day after by Russian special forces brigade #Russian #war #NaziUkraine #UkraineRussiaWar https://t.co/00g77Km8pD",1
115,"BREAKING: Mastercard and Visa are suspending operations in Russia.

#StandWithUkraine",0
116,"@thetimes 🇺🇦
Ukraine 
#RussiaUkraineWar
#StopWarInUkraine
#Kyiv #StandWithUkraine
#Zelensky 
@ZelenskyyUaaa 
@ZelenskyyUa9",0
117,"As UK SofS @BWallaceMP for Defence concisely puts it, ""No one wants to rule Russia“ - NATO threat to Russia is a classic example of a ""straw man“. NATO is a defensive organisation, important to maintain Allied unity and #StandWithUkraine. #WeAreNATO More: https://t.co/uLra1DXVBx",0
118,"Why should we SUPPORT or STAND with Ukraine, If, that’s how you treat POC!!!!🤬🤬🤬🤬",0
119,"Ukraine is not a democracy.

Zelensky is not a hero.

NATO are not the good guys

#IStandWithPutin 100%

no one else should own president Putin's weapons

how may more Japans is enough?

WHY ARE WE ALL SUICIDAL ?

#NATOSummit 

#NATONAZIS 

without puppets, the puppeteer is lost: https://t.co/vMHh7bCHSZ",1
120,"@EmbassyofRussia @mfa_russia @PMSimferopol @RusConsCapetown @mahasharampedi @SABCNews @ThabisoLehoko @MID_Kaliningrad @RusEmbEthiopia @georgegalloway @calebmaupin Fighting Nazism?!? What a pathetic joke. What Russia is doing now in the Ukraine is the closest thing to Nazism we've seen since WWII. Hitler would be proud. 
#StandWithUkraine
#StopPutinNOW
#StopRussia",0
121,Stand with Ukraine! https://t.co/JQrNzRKGhA,0
122,@NATO : It's time. Please stop this. #StopRussia #SlavaUkraini #StandWithUkraine #IStandWithUkraine #RussianArmy #RussianAirForce #UkraineRussianWar #UkraineUnderAttack #Ukraine #Russia #UkraineRussiaCrisis #StandWithRussia #IStandWithRussia #Yкраїна #Россия #чеченцы https://t.co/x0C2VUZMxm,1
123,"@mcspocky Ukraine is fighting for its Independence and defending our values! 
#StandWithUkraine #SlavaUkraini https://t.co/GPRtRD9ptb",0
124,"https://t.co/jisH1xLufd 

Worth listening to whole interview.
#UkraineRussiaWar 
#Ukraine 
#Putin 
#zelensky 
#Zelenskyy 
#AzovBattalion 
#NaziUkraine 
#Mariupol 
#Donbas 
#Bandera 
#NATO 
#proxywar
#WarCrimes 
#denazification 
@zerohedge 
@GeromanAT 
@MoonofA 
@TheGrayzoneNews",1
125,"⚡️«Good-bye, FSB!», — Anonymous hacker group took down the website of Federal Security Service of the Russian Federation

  #StandWithUkraine
   #StopPutin #StopRussia #worldwithus #UkraineUnderAttask #Ukraine https://t.co/YbVm49jwue",0
126,"@joshgroban Bigger Than Us from @MadisonSqrGdn 2018 Bridges Tour.  
Prayers 🙏 for the  #Ukrainian people 🙌. I stand with Ukraine 🇺🇦
https://t.co/aptG9WFb5R",0
127,#AZOVNAZIS Bandera #Ukronazis Holocaust #NaziUkraine https://t.co/MEwGoLmWqg,1
128,"Today marks the 2nd Anniversary of all those people who now stand with Ukraine emptying the shelves of Toilet Roll.

#HappyToiletRollAnniversary",0
129,@JessElizarraras Let’s take the @mySA team though next week.,0
130,"In Kyiv, Secretary Blinken vowed to stand with Ukraine as Russia tensions continue https://t.co/X3kE4jNZDK https://t.co/A3CnTDirmL",0
131,@antonioguterres @DmytroKuleba @UN When was the last time you guys did anything right? You screwed #Libya @UNSMILibya and other countries. Now #Ukraine. #StandWithUkraine #UkraineRussianWar,0
132,"@CBSMornings YEA BY #NAZIUKRAINE ! And the Nazi #azov soldiers. Hints WHY the whole invasion started! 
Any part of Ukraine that voted to be separated has been tortured by the #naziukraine #azov for years now! 
HINTS why Ukraine recently made speaking russian illegal! Something only #Nazis do https://t.co/Ndw0KT5or6",1
133,"@visegrad24 We stand with Ukraine 🇺🇦,Love from 🇭🇷 ❤",0
134,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 what is happening in #NaziUkraine is that @KremlinRussia_E Putin warned you western monkeys for what was happening in #dombass to Russian people!! Now nobody I know gives a fuck about you and support Putin ! You filthy lying whites!!!,1
135,We will #StandWithUkraine. https://t.co/OK3hmj0QPa,0
136,"@mhmck Hey Germany, get off your cowardly ass and #StandWithUkraine!",0
137,"There were a lot of us this Saturday at Place de la Bastille, Paris, France🇫🇷 when the Ukrainian National Anthem sounded. Not a word, not a sound except this song of pain. Huge emotion
 #StandWithUkraine
 #Ukraine🇺🇦 https://t.co/OiujeFmflg",0
138,@DmytroKuleba @Shell I stand with Ukraine,0
139,@Mr___Bone @UCastellotti Unless they get outside reinforcements.   But who would stand with ukraine?   Probably not nato or usa,0
140,@nolanwpeterson I’m Estonian and stand with Ukraine 💙💛 It’s a shame but not a shock that once again the world is watching and letting this happen. Russia won’t stop until somebody stops them or they succeed. Stay safe!,0
141,@AprilAncira Keep doing your thing. It is wonderful to watch how you and the Ancira crew activates for our community. What’s the saying…haters hate?,0
142,@mollysmcdonough @Ukraine That's great that you stand with Ukraine get on a flight and go fight.,0
143,"@kfc Why are you still open in #Russia???

#StandWithUkraine https://t.co/Px01WImnqZ",0
144,"Why are you hiding how many Ukrainian soldiers were killed?#Russia #Ukraine #Україна #Ukrania #UkraineWar #EU #NATO #USA #UN @UN @cnnbrk
 #IStandWithRussia @BBC_ua
 #UkraineRussiaWar #StandWithUkriane #Kyiv @USArmy https://t.co/g0pQzkT2MI https://t.co/tYopv1WCCR",1
145,"I wish Europe and the US good luck with the Ukrainian Nazis.  Now you will have a lot of terrorist attacks.  Keep sending weapons👌🏻👏🏻✊🏻

#Russian 🤝🏻 #Donbass 
#RussiaUkraineWar 
#Ukraine #NaziUkraine 
#Moldova #Transnistria",1
146,"We are determined to protect our sovereignty at all costs here in #Ukraine
#StandWithUkraine
Huge Thank You to the UK Government for supporting our independence
#StandWithUkraine https://t.co/CThgXSGqRa",0
147,"Join the campaign #StandWithUkraine
#StandWithUkraine a social media campaign to show your support for the right of Ukrainians to live in peace and freedom in their own sovereign country.
#StandWithUkraine #StopPutinNOW https://t.co/dTcZUCv9HA",0
148,"Just got back from a street-side protest for Ukraine! It was somewhat small, probably about 20-30 people, but plenty of people honked for us. It was nice though to attend and to stand with Ukraine! https://t.co/2PK8SiAavK",0
149,"#ukraine #StopPutinNOW #StandWithUkraine #Putin
""You are welcome.
Putin is not!""

Ukraine and Russia have so much potential!
So much land
So many people
So much brains
So much heart
So much culture
So much history
And instead: So much Putin
So many lifes destroyed
A disgrace! https://t.co/mlZW5FpBFL",0
150,@BetteMidler Same can be said of all luxury vehicles that whine about having to buy premium.  Stand with Ukraine!  I don't mind paying the price for Ukraine.,0
151,"VIDEO: See Jamala's performance of ""1944"".

67,000,000 euros was raised yesterday during the national selection show for the Eurovision Song Contest in Germany. All the money will be given to support Ukraine.

#StandWithUkraine #StopRussianAggression https://t.co/DwZCOyVCbe",0
152,This is war crime. Genocide. Call it as it is! The free world stand with Ukraine 🇺🇦 https://t.co/GSDoKyHyQV,0
153,Biden’s government was weeks ahead providing Stinger antiaircraft missiles and Javelins to Ukraine in February 🛩 https://t.co/koboi2FCGZ #RussiaUkraineWar #BidenDelivers #Zelensky #TrumpIsARussianAsset  #Standwithukraine,0
154,"Lol see this guy #NaziMcCain funding #NaziUkraine #Azov #AzovBattalion #andreibiletsky leader of the nazi Nationalist Party in Ukraine #SaveDonvas from the #AzovBattalion funded by America @NATO @UN shame on you, the world sees your fake wars https://t.co/MH8AIB3Fun https://t.co/NtkPVVrtUX",1
155,"I am proud to #StandWithUkraine 🇺🇦 👋 @DmytroKuleba 🇬🇧 stands with 🇺🇦
https://t.co/az55gLCHba",0
156,"@trussliz You are looking for war, stand with Ukraine because of America and NATO. You want to be on Russian border be careful they might be on ours.
https://t.co/KqO1dgy00s you can't even look after the people in our country, stop spending our money.",0
157,Diary pages of one of the commanders of the #Nazi battalion #Azov… There are no #Nazis on #Ukraine they said. #StandWithUkraine #StandingWithUkraine #AzovBattalion #NaziUkraine #Nazism #Mariupol #Z #V #denazification #DenazifyUkraine #StandWithRussia https://t.co/igQpgIEV0o,1
158,"Dear President Biden @POTUS 

Maybe it is time to tell the American people exactly what Russia did to us and who Aided and Abetted them. I know it's getting prosecuted, it's time the American people know the story that We have been telling for over 4 years. 

I Stand With Ukraine",0
159,"A photo is worth a thousand words
#StopPutinNOW 🛑
#FightForPeace ✊ ✊ 💪 💪
#StandWithUkraine 💙 💛 🇺🇦 💙💛
#SlavaUkraini 🙏 https://t.co/ign33mTC9w",0
160,"@SteveDaines You are an idiot, unless you are a traitor!  How dare you #StandWithUkraine while endangering their President after being told not to do this!  What is wrong with you!",0
161,"Thread: When you are a nation of Oligarchs and basically little more than a bully on the world stage, you have issues.  Let's think military. Oli's can make lots of money supplying expensive aircraft, tanks, ships, and so forth.

1/6

#StandWithUkraine",0
162,"WHY is @CocaCola selling products in Russia??? 

I’m boycotting @CocaColaCo  

I stand with Ukraine! #BoycottCoke https://t.co/Pqr3xKPYxc https://t.co/zCHJzdVLi9",0
163,@SenatorRomney Baltic Americans stand with Ukraine. Thank you for your support! #StopRussianAggression,0
